"SUBJID"	"COUNTRY_SELF"
1998	"Swiss French"
634	"Swiss French"
970	"Swiss French"
277	"Swiss French"
2091	"Swiss French"
1795	"Swiss French"
653	"Swiss French"
1791	"Swiss French"
608	"Swiss French"
782	"Swiss French"
1980	"Swiss French"
1945	"Swiss French"
2189	"Swiss French"
1436	"Swiss French"
291	"Swiss French"
1231	"Swiss French"
2008	"Swiss French"
799	"Swiss French"
145	"Swiss French"
2142	"Swiss French"
56	"Swiss French"
977	"Swiss French"
1899	"Swiss French"
303	"Swiss French"
2080	"Swiss French"
1946	"Swiss French"
1132	"Swiss French"
829	"Swiss French"
1012	"Swiss French"
135	"Swiss French"
1031	"Swiss French"
983	"Swiss French"
1100	"Swiss French"
855	"Swiss French"
1733	"Swiss French"
518	"Swiss French"
1152	"Swiss French"
1111	"Swiss French"
1565	"Swiss French"
1359	"Swiss French"
1585	"Swiss French"
1811	"Swiss French"
1622	"Swiss French"
1329	"Swiss French"
1711	"Swiss French"
699	"Swiss French"
976	"Swiss French"
138	"Swiss French"
1101	"Swiss French"
17	"Swiss French"
1479	"Swiss French"
2000	"Swiss French"
1541	"Swiss French"
698	"Swiss French"
2206	"Swiss French"
1588	"Swiss French"
206	"Swiss French"
1692	"Swiss French"
1313	"Swiss French"
1051	"Swiss French"
1698	"Swiss French"
2161	"Swiss French"
108	"Swiss French"
350	"Swiss French"
344	"Swiss French"
1084	"Swiss French"
1363	"Swiss French"
1634	"Swiss French"
51	"Swiss French"
1234	"Swiss French"
2083	"Swiss French"
796	"Swiss French"
703	"Swiss French"
1462	"Swiss French"
851	"Swiss French"
1420	"Swiss French"
2179	"Swiss French"
1086	"Swiss French"
850	"Swiss French"
1286	"Swiss French"
1460	"Swiss French"
2042	"Swiss French"
1797	"Swiss French"
1049	"Swiss French"
1673	"Swiss French"
1218	"Swiss French"
994	"Swiss French"
222	"Swiss French"
286	"Swiss French"
1295	"Swiss French"
487	"Swiss French"
1880	"Swiss French"
208	"Swiss French"
1604	"Swiss French"
2109	"Swiss French"
2088	"Swiss French"
889	"Swiss French"
1894	"Swiss French"
857	"Swiss French"
1038	"Swiss French"
619	"Swiss French"
330	"Swiss French"
882	"Swiss French"
741	"Swiss French"
1956	"Swiss French"
520	"Swiss French"
2058	"Swiss French"
1272	"Swiss French"
205	"Swiss French"
282	"Swiss French"
1296	"Swiss French"
1422	"Swiss French"
733	"Swiss French"
1001	"Swiss French"
1075	"Swiss French"
1897	"Swiss French"
1559	"Swiss French"
576	"Swiss French"
1957	"Swiss French"
723	"Swiss French"
1383	"Swiss French"
2165	"Swiss French"
1675	"Swiss French"
944	"Swiss French"
2192	"Swiss French"
338	"Swiss French"
1650	"Swiss French"
1027	"Swiss French"
1250	"Swiss French"
1009	"Swiss French"
1060	"Swiss French"
803	"Swiss French"
1484	"Swiss French"
1829	"Swiss French"
1984	"Swiss French"
294	"Swiss French"
2078	"Swiss French"
1317	"Swiss French"
2227	"Swiss French"
379	"Swiss French"
800	"Swiss French"
212	"Swiss French"
1687	"Swiss French"
2039	"Swiss French"
1368	"Swiss French"
